NCTNumber,Title,Acronym,Status,Conditions,Interventions,OutcomeMeasures,Sponsor/Collaborators,Gender,Age,Phases,Enrollment,FundedBys,StudyType,StudyDesigns,OtherIDs,StartDate,PrimaryCompletionDate,CompletionDate,FirstPosted,ResultsFirstPosted,LastUpdatePosted,Locations,Rank,StudyDocuments,StudyResults,URL
NCT02807389,Stem Cell Fistula Plug in Post Surgical Leak Fistulas,,Completed,Surgical Leak Fistula,Drug: MSC Fistula Plug,Incidence of Treatment-Emergent Adverse Events [Safety and Tolerability]|Incidence of Fistula Closure,Mayo Clinic,All,"18 Years to 75 Years   (Adult, Older Adult)",Phase 1,2.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-004326,"March 14, 2017","April 2, 2019","April 2, 2019","June 21, 2016",,"April 23, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",175,,No Results Available,https://ClinicalTrials.gov/show/NCT02807389
NCT01920867,Stem Cell Ophthalmology Treatment Study,SCOTS,Enrolling by invitation,Retinal Disease|Macular Degeneration|Hereditary Retinal Dystrophy|Optic Nerve Disease|Glaucoma,Procedure: RB (Retrobulbar)|Procedure: ST (Subtenon)|Procedure: IV (Intravenous)|Procedure: IVIT (Intravitreal)|Procedure: IO (Intraocular),Visual acuity|Visual fields,MD Stem Cells,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,300.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,ICMS-2013-0019.,August 2013,August 2018,August 2019,"August 12, 2013",,"August 27, 2019","MD Stem Cells, Westport, Connecticut, United States",176,,No Results Available,https://ClinicalTrials.gov/show/NCT01920867
NCT01739504,Autologous Adipose-Derived Stromal Cells Delivered Intra-articularly in Patients With Osteoarthritis.,,Terminated,Osteoarthritis,Procedure: Liposuction with Local Anesthesia|Biological: Intra articular infusion of AD-SVF,"Change from Baseline in Visual Analogue Scale (VAS)|Change from Baseline of Quality of life scores|Change from Baseline of Reduction in analgesics|Number of adverse events reported|Change from Baseline in x-ray, sonogram, or MRI imaging of affected joint compared to baseline.",Ageless Regenerative Institute,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,10.0,Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AD-US-OR-001,"March 1, 2014","April 1, 2017","April 1, 2017","December 3, 2012",,"November 24, 2017","Ageless Institute LLC, Aventura, Florida, United States",177,,No Results Available,https://ClinicalTrials.gov/show/NCT01739504
NCT03220243,Stem Cell Coated Fistula Plug in Patients With Crohn's RVF,,"Active, not recruiting",Fistula Vagina|Crohn Disease,Drug: MSC-AFP,Number of participants with treatment-related adverse events (safety and toxicity).|Number of participants with response to the treatment regarding potential cessation of drainage from their fistula.,Mayo Clinic,Female,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,5.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-002892,"October 19, 2017","July 20, 2020","December 20, 2020","July 18, 2017",,"August 7, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",178,,No Results Available,https://ClinicalTrials.gov/show/NCT03220243
NCT01413061,Study of Subtalar Arthrodesis Using AlloStem® Versus Autologous Bone Graft,,Completed,Degenerative Osteoarthritis|Post-traumatic; Arthrosis|Rheumatoid Arthritis & Other Inflammatory Polyarthropathies|Rheumatoid Arthritis of Subtalar Joint,Procedure: Subtalar Arthrodesis,Fusion Rate (%)(as determined by CT assessment)|Radiographic outcome assessments|Functional outcome measurements,AlloSource,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,140.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,AlloSource Subtalar Fusion RCT,June 2010,February 2017,March 2018,"August 10, 2011",,"April 13, 2018","Institute for Foot and Ankle Reconstruction at Mercy, Baltimore, Maryland, United States|Orthopaedic Associates of Michigan, Grand Rapids, Michigan, United States|Minnesota Orthopedic Sports Medicine Institute (MOSMI), Edina, Minnesota, United States|Penn State Milton S. Hershey Medical Center, Hershey, Pennsylvania, United States|Campbell Clinic, Germantown, Tennessee, United States",179,,No Results Available,https://ClinicalTrials.gov/show/NCT01413061
NCT03011541,Stem Cell Ophthalmology Treatment Study II,SCOTS2,Recruiting,"Retinal Disease|Age-Related Macular Degeneration|Retinitis Pigmentosa|Stargardt Disease|Optic Neuropathy|Nonarteritic Ischemic Optic Neuropathy|Optic Atrophy|Optic Nerve Disease|Glaucoma|Leber Hereditary Optic Neuropathy|Blindness|Vision Loss Night|Vision Loss Partial|Vision, Low|Retinopathy|Maculopathy|Macular Degeneration|Retina Atrophy",Procedure: Arm 1|Procedure: Arm 2|Procedure: Arm 3,Visual Acuity|Visual Fields|Optical Coherence Tomography (OCT),MD Stem Cells,All,"18 Years and older   (Adult, Older Adult)",Not Applicable,500.0,Industry,Interventional,Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,SCOTS2,January 2016,January 2020,January 2021,"January 5, 2017",,"August 28, 2019","MD Stem Cells, Westport, Connecticut, United States|MD Stem Cells, Coral Springs, Florida, United States",180,,No Results Available,https://ClinicalTrials.gov/show/NCT03011541
NCT02802384,Pathophysiology of Paget's Disease of Bone,,Recruiting,Paget's Disease of Bone,,Serum chemokine level|Correlation of chemokine level to Paget's Disease of Bone Pain|Correlation of chemokine level to alkaline phosphatase concentration|Correlation of chemokine level to proportion of affected skeleton|Correlation of chemokine level to number of circulating stem cells,Johns Hopkins University,All,"18 Years to 99 Years   (Adult, Older Adult)",,20.0,Other,Observational,Observational Model: Case-Control|Time Perspective: Cross-Sectional,IRB00077130,April 2016,April 2022,June 2022,"June 16, 2016",,"June 12, 2019","Johns Hopkins University, Baltimore, Maryland, United States",181,,No Results Available,https://ClinicalTrials.gov/show/NCT02802384
NCT03079401,Mesoblast Stem Cell Therapy for Patients With Single Ventricle and Borderline Left Ventricle,,Recruiting,Hypoplastic Left Heart Syndrome|Atrioventricular Canal,Biological: MPC; rexlemestrocel-L,Safety- Incidence of severe adverse events|Safety- Absence of PRA status change or local inflammation|Efficacy- rate of biventricular conversion|Efficacy- improvement of LV end diastolic pressure|Efficacy- improvement of LV mass/volume ratio,Boston Children’s Hospital,All,up to 5 Years   (Child),Phase 1|Phase 2,24.0,Other,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",IRB-P00020575,"November 27, 2017",November 2020,November 2021,"March 14, 2017",,"January 30, 2019","Boston Children's Hospital, Boston, Massachusetts, United States",182,,No Results Available,https://ClinicalTrials.gov/show/NCT03079401
NCT02589119,Stem Cell Fistula Plug in Cryptoglandular Perianal Fistulas (MSC-AFP),,"Active, not recruiting",Perianal Fistula|Cryptoglandular Perianal Fistula,Drug: MSC-AFP,Number of participants with treatment-related adverse events (safety and toxicity).|Number of participants with response to the treatment regarding potential cessation of drainage from their fistula.,Mayo Clinic,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,15.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,15-003200,January 2016,October 2019,November 2019,"October 28, 2015",,"August 7, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",183,,No Results Available,https://ClinicalTrials.gov/show/NCT02589119
NCT01602328,A Study to Evaluate the Safety and Efficacy of AC607 for the Treatment of Kidney Injury in Cardiac Surgery Subjects,ACT-AKI,Terminated,Acute Kidney Injury,Biological: AC607|Biological: Vehicle Only,Time to Kidney Recovery defined as a post-operative serum creatinine return to pre-operative baseline values.|All-Cause Mortality or Dialysis (composite endpoint).,AlloCure Inc.,All,"21 Years and older   (Adult, Older Adult)",Phase 2,156.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",AC 6071103,June 2012,June 2014,August 2014,"May 21, 2012",,"August 6, 2014","University of Alabama at Birmingham, Birmingham, Alabama, United States|University of California, San Diego, San Diego, California, United States|Stanford Hospital and Clinics, Stanford, California, United States|MedStar Washington Hospital Center, Washington, District of Columbia, United States|Northwestern University, Chicago, Illinois, United States|Maine Medical Center, Portland, Maine, United States|Johns Hopkins University, Baltimore, Maryland, United States|Brigham and Women's Hospital, Boston, Massachusetts, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|Henry Ford Hospital, Detroit, Michigan, United States|Mayo Clinic, Rochester, Minnesota, United States|Rutgers Robert Wood Johnson Medical School, New Brunswick, New Jersey, United States|Columbia University Medical Center, New York, New York, United States|Duke University Medical Center, Durham, North Carolina, United States|Ohio State University, Columbus, Ohio, United States|Lankenau Medical Center, Wynnewood, Pennsylvania, United States|UTHealth, The University of Texas Health Science Center at Houston, Houston, Texas, United States|Fletcher Allen Health Care - Renal Services, Burlington, Vermont, United States|University of Virginia Health System, Charlottesville, Virginia, United States|University of Washington Medical Center, Seattle, Washington, United States|CAMC Clinical Trials Center, Charleston, West Virginia, United States|Foothills Medical Centre, Calgary, Alberta, Canada|University of Alberta Hospital, Edmonton, Alberta, Canada|University of Manitoba - St. Boniface Hospital, Winnipeg, Manitoba, Canada|CDHA Queen Elizabeth II Health Sciences Centre, Halifax, Nova Scotia, Canada|McMaster - Hamilton General Hospital / TAARI, Hamilton, Ontario, Canada|London Health Sciences Centre, University Hospital, London, Ontario, Canada|St. Michael's Hospital, Toronto, Ontario, Canada|Toronto General Hospital, Toronto, Ontario, Canada|Montreal Heart Institute, Montreal, Quebec, Canada|Institut Universitaire de Cardiologie et de Pneumologie de Quebec, Quebec, Canada",184,,No Results Available,https://ClinicalTrials.gov/show/NCT01602328
NCT01915927,Stem Cell Fistula Plug in Perianal Crohn's Disease,MSC-AFP,"Active, not recruiting",Perianal Crohn's Disease,Drug: MSC-AFP,To determine the safety and toxicity of using autologous MSC coated fistula plug in patients with fistulizing Crohn's Disease.|To assess in preliminary fashion the response of fistula healing induced by the GORE plug containing MSC,"William A. Faubion, M.D.|Mayo Clinic",All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,20.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,12-009716,July 2013,November 2019,March 2020,"August 5, 2013",,"August 7, 2019","Mayo Clinic, Rochester, Minnesota, United States",185,,No Results Available,https://ClinicalTrials.gov/show/NCT01915927
NCT03608579,Autologous Culture Expanded Adipose Derived MSCs for Treatment of Painful Hip OA,,Recruiting,"Osteoarthritis, Hip",Drug: Autologous Adipose Derived Mesenchymal Stromal Cells,"Nature, incidence and severity of adverse events (AEs)|Change in Visual Analog Scale (VAS) for pain in the target hip following completion of treatment cycles|Change in Tegner activity scale in the target hip following completion of treatment cycles|Change in modified Harris Hip Score (mHHS) in the target hip following completion of treatment cycles|Change in Hip disability and osteoarthritis Outcome Score (HOS) in the target hip following completion of treatment cycles|Change in radiographic joint morphology|Change in cartilage thickness|Change in cartilage volume|Change in cartilage morphology|Change in subchondral bone morphology|Change periarticular soft-tissues|Change in synovial fluid biomarkers within the target hip",Mayo Clinic,All,"18 Years to 65 Years   (Adult, Older Adult)",Phase 1,24.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,18-000015,"November 5, 2018","December 31, 2021","December 31, 2021","August 1, 2018",,"October 11, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",186,,No Results Available,https://ClinicalTrials.gov/show/NCT03608579
NCT02525432,Autologous Stem Cell Study for Adult TBI (Phase 2b),,Enrolling by invitation,"Brain Injuries, Traumatic|Brain Injuries, Acute|TBI (Traumatic Brain Injury)",Biological: Placebo Infusion|Biological: Autologous BMMNC Infusion,Macro and micro structural properties of grey matter (GM) and white matter (WM) regions will measured using high-resolution anatomical MRI and diffusion tensorm imaging and comparisons made between groups.|Brain imaging measures of GM and WM structural integrity will be compared to functional and neurocognitive scores and comparisons made between groups.|Compare neuro-inflammatory biomarkers between groups..|Measure the number of participants with infusion related adverse events.|Measure spleen ultrasound size over time and corresponding changes in inflammatory cytokines.|Determine if microglial activation is associated with TBI and can be accurately measured with brain PET and DT-MRI imaging when compared to PET imaging data from healthy volunteers (enrolled under a different protocol).|Quantify the extent and location of microglial activation by brain PET imaging and how activity correlates with performance of neurocognitive outcomes measures.|Determine the extent to which an IV infusion of autologous BMMNC post-injury impacts microglial activation by brain PET imaging.,"The University of Texas Health Science Center, Houston|United States Department of Defense|U.S. Army Medical Research and Development Command",All,18 Years to 55 Years   (Adult),Phase 2,55.0,Other|U.S. Fed,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Outcomes Assessor)|Primary Purpose: Treatment",HSC-MS-16-0283,"November 21, 2016",October 2020,December 2020,"August 17, 2015",,"August 13, 2019","The University of Texas Health Science Center at Houston, Houston, Texas, United States",187,,No Results Available,https://ClinicalTrials.gov/show/NCT02525432
NCT03449069,Pediatric MSC-AFP Sub-study for Crohn's Fistula,,Recruiting,Fistula in Ano|Crohn Disease,Drug: MSC-AFP,Number of participants with treatment-related adverse events (safety and toxicity)|Number of participants with response to the treatment regarding cessation of drainage from the treated fistula.|Number of participants with radiographic response to the treatment regarding the treated fistula.,Mayo Clinic,All,12 Years to 17 Years   (Child),Phase 1,5.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,17-010539,"July 23, 2018","February 28, 2020","February 28, 2021","February 28, 2018",,"August 7, 2019","Mayo Clinic in Rochester, Rochester, Minnesota, United States",188,,No Results Available,https://ClinicalTrials.gov/show/NCT03449069
NCT00957931,"Allo-HCT MUD for Non-malignant Red Blood Cell (RBC) Disorders: Sickle Cell, Thal, and DBA: Reduced Intensity Conditioning, Co-tx MSCs",,Completed,Sickle Cell Disease|Thalassemia|Diamond-Blackfan Anemia,Procedure: Bone marrow transplantation|Biological: Mesenchymal Stromal Cells,Count of Participants With Stable Engraftment Post Hematopoietic Cell Transplantation (HCT)|Overall Survival 6 Months Following HCT|Overall Survival 1 Year Following HCT|Count of Participants With Disease-free Survival 6 Months Following HCT|Count of Participants With Disease-free Survival 1 Year Following HCT,Stanford University|University of Minnesota - Clinical and Translational Science Institute|University of Alabama at Birmingham,All,"1 Year to 25 Years   (Child, Adult)",Phase 2,6.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSC01,March 2009,August 2013,August 2013,"August 13, 2009","August 6, 2018","August 6, 2018","Children's Hospital of Alabama, Birmingham, Alabama, United States|University of Minnesota, Minneapolis, Minnesota, United States",189,,Has Results,https://ClinicalTrials.gov/show/NCT00957931
NCT01460901,"Study of Donor Derived, Multi-virus-specific, Cytotoxic T-Lymphocytes for Relapsed/Refractory Neuroblastoma",STALLONe,Completed,Neuroblastoma,Biological: GD2 CAR modified Tri-virus specific cytotoxic t-cells,Number of Participants With Immediate and Short Term Toxicity of Infusion Over 8 Weeks|Peak Transgene Copy Number Per 1000ng PBMC DNA|Death Within 8 Weeks of Infusion|Peak Viral Specific SFU/2x10e5 Mononuclear Cells Per Well|Maximum Tumor Response (RECIST 1.1),"Children's Mercy Hospital Kansas City|Center for Cell and Gene Therapy, Baylor College of Medicine",All,18 Months to 17 Years   (Child),Phase 1,5.0,Other,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,STALLONe|00038,October 2012,January 2015,January 2015,"October 27, 2011","July 23, 2019","July 23, 2019","Children's Mercy Hospital, Kansas City, Missouri, United States",190,,Has Results,https://ClinicalTrials.gov/show/NCT01460901
NCT02052908,Naproxen in Preventing DNA Mismatch Repair Deficient Colorectal Cancer in Patients With Lynch Syndrome,,"Active, not recruiting",Lynch Syndrome,Other: Laboratory Biomarker Analysis|Drug: Naproxen|Other: Placebo,"Change in PGE2 concentration levels in normal colorectal mucosa|Minimal biologically effective dose of naproxen that induces a modulation of PGE2 levels|Incidence of toxicity|Naproxen concentrations in plasma samples|Naproxen concentrations in normal colorectal mucosa|PGE-M levels in urine samples|Change in number of polyps observed in the rectosigmoid area|Changes in the microRNA profile of the normal colorectal mucosa|Changes in gene expression mRNA profiles of the normal colorectal mucosa|Changes in the mutational rate of the normal colorectal mucosa|Changes in the microbiome of the normal colorectal mucosa|Changes in the PGF2, PGD2, Thromboxane B2, 9a11b-PGF2a and 6-KetoPGF1a levels of the colorectal tissue|Changes in the stem cell and epithelial differentiation marker levels|Changes in the number and type of immune and mesenchymal cells recruited to the colorectal mucosa",National Cancer Institute (NCI),All,"18 Years and older   (Adult, Older Adult)",Phase 1,81.0,NIH,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Investigator)|Primary Purpose: Prevention",NCI-2014-00046|N01-CN-2012-00034|HHSN261201200034I|HUM00079757|HHSN26100003; RFP B|MDACC IRB # 2013-0698|2013-0698|13-585|MDA2013-01-02|N01CN00034|P30CA016672,"January 27, 2014","October 25, 2017",,"February 3, 2014",,"October 15, 2019","Brigham and Women's Hospital, Boston, Massachusetts, United States|University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|M D Anderson Cancer Center, Houston, Texas, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, United States",191,,No Results Available,https://ClinicalTrials.gov/show/NCT02052908
NCT02688114,Healing of the Esophageal Mucosa After RFA of Barrett's Esophagus,,Enrolling by invitation,Barrett Esophagus,Procedure: Baseline surveillance endoscopy|Procedure: Radiofrequency ablation|Procedure: Follow up endoscopy 1|Procedure: Follow up endoscopy 2|Procedure: Follow up endoscopy 3,"Change in the Percent of Mucosa Healed by Neosquamous Epithelium|Change in expression of genes associated with epithelial-mesenchymal transition, stem cells, and submucosal glands|Change in inflammatory cell infiltrate",Dallas VA Medical Center,All,"18 Years to 80 Years   (Adult, Older Adult)",Not Applicable,20.0,U.S. Fed,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science,15-076,March 2016,May 2020,December 2020,"February 23, 2016",,"July 18, 2019","Baylor Scott and White Research Institute, Dallas, Texas, United States|Dallas VA Medical Center, Dallas, Texas, United States",192,,No Results Available,https://ClinicalTrials.gov/show/NCT02688114
NCT00810212,Safety and Efficacy Study of NeoFuse in Subjects Requiring Posterolateral Lumbar Fusion,,Withdrawn,Degenerative Disc Disease|Degenerative Spondylolisthesis|Spinal Stenosis,Procedure: PLF with autograft|Genetic: PLF with NeoFuse,"To determine the safety of NeoFuse (allogeneic mesenchymal precursor cells [MPCs] when combined with MasterGraft Resorbable Ceramic granules as a carrier for posterolateral lumbar fusion (PLF) with instrumentation|To evaluate the overall fusion success with NeoFuse plus carrier compared to autograft using CT scans and x-ray of the involved lumbar spine levels and access the change in outcomes (ODI, SF-36) and pain (VAS)","Mesoblast, Ltd.",All,"18 Years to 70 Years   (Adult, Older Adult)",Phase 1|Phase 2,0.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,MSB-SF002,November 2008,November 2011,November 2011,"December 18, 2008",,"November 7, 2014","Texas Back Institute, Plano, Texas, United States",193,,No Results Available,https://ClinicalTrials.gov/show/NCT00810212
NCT00549913,Study of 3 Doses of NeoFuse Combined With MasterGraft Granules in Subjects Requiring Posterolateral Lumbar Fusion (PLF),,Completed,Degenerative Disc Disease|Spondylolisthesis|Spinal Stenosis,Genetic: NeoFuse|Procedure: posterolateral spinal fusion with instrumentation,To determine the safety of NeoFuse (allogeneic mesenchymal precursor cells [MPCs]) when combined with MasterGraft Resorbable Ceramic Granules as a carrier for posterolateral lumbar fusion with instrumentation.|To evaluate the overall fusion success of the use of NeoFuse plus carrier compared to autograft in the same patient|To assess CT scan as a pilot measure of fusion for use in the pivotal study|To provide preliminary data to support dose selection,"Mesoblast, Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 1|Phase 2,6.0,Industry,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,MSF0106,October 2007,August 2013,September 2013,"October 26, 2007",,"November 7, 2014","Hospital for Special Surgery, New York, New York, United States",194,,No Results Available,https://ClinicalTrials.gov/show/NCT00549913
NCT03473301,A Study of UCB and MSCs in Children With CP: ACCeNT-CP,ACCeNT-CP,"Active, not recruiting",Cerebral Palsy,Biological: Infusion of allogeneic umbilical cord blood|Biological: Infusion of MSCs,GMFM-66 score 12 months after study infusion|Adverse events,"Joanne Kurtzberg, MD|The Marcus Foundation|Duke University",All,24 Months to 60 Months   (Child),Phase 1|Phase 2,90.0,Other,Interventional,Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Single (Outcomes Assessor)|Primary Purpose: Treatment,Pro00089362,"April 9, 2018",May 2020,May 2021,"March 22, 2018",,"June 7, 2019","Duke University Medical Center, Durham, North Carolina, United States",195,,No Results Available,https://ClinicalTrials.gov/show/NCT03473301
NCT01290367,Safety and Preliminary Efficacy Study of Mesenchymal Precursor Cells (MPCs) in Subjects With Lumbar Back Pain,,Completed,Degenerative Disc Disease,Biological: Single Dose MPCs Injection|Procedure: Single injection of saline solution|Procedure: Single injection of hyaluronic acid,"To determine the overall safety of MPCs plus carrier using physical examinations, vital signs, treatment emergent adverse events (TEAEs), and the results of clinical lab tests (hematology, serum chemistry, inflammation, and immunology).|To evaluate the change of treated lumbar intervertebral discs using Magnetic Resonance Imaging (MRI) at 6 months post injection of MPCs.|To evaluate the effectiveness of MPCs in reducing chronic lumbar back pain using the visual analog scale (VAS).","Mesoblast, Ltd.",All,"18 Years and older   (Adult, Older Adult)",Phase 2,100.0,Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Double (Participant, Outcomes Assessor)|Primary Purpose: Treatment",MSB-DR001,August 2011,July 2013,July 2015,"February 7, 2011",,"August 20, 2019","Arizona Pain Specialists, Scottsdale, Arizona, United States|UC Davis Spine Center, Sacramento, California, United States|The Spine Institute, Santa Monica, California, United States|IPM Medical Group, Inc., Walnut Creek, California, United States|Denver Spine, Denver, Colorado, United States|Rocky Mountain Associates in Orthopedic Medicine, P.C., Loveland, Colorado, United States|Emory University School of Medicine, Atlanta, Georgia, United States|Carolina Neurosurgery and Spine Associates, Charlotte, North Carolina, United States|Central Texas Spine Institute, Austin, Texas, United States|Richmond Bone and Joint Clinic, Memorial Hermann Medical Group, Richmond, Texas, United States|Virginia Spine Research Institute, Inc., Richmond, Virginia, United States|Washington Center for Pain Management, Edmonds, Washington, United States|The Center for Pain Relief, Inc., Charleston, West Virginia, United States|Monash Medical Center, Clayton, Victoria, Australia",196,,No Results Available,https://ClinicalTrials.gov/show/NCT01290367
NCT02337517,Vismodegib in Treating Patients With Steroid-Refractory Chronic Graft-Versus-Host Disease,,Terminated,Chronic Graft Versus Host Disease,Other: Laboratory Biomarker Analysis|Drug: Vismodegib,Failure free survival (FFS)|Incidence of adverse events|Change in National Institutes of Health (NIH) global score of chronic graft-versus-host disease (GVHD) defined by using the National Institutes of Health (NIH) consensus criteria for assessment of chronic graft-versus-host disease (GVHD) severity|One-year non relapse mortality (NRM)|One-year relapse rate|One-year failure free survival (FFS)|One-year overall survival|Clinical characteristics that may be associated with decreased failure free survival (FFS),"National Cancer Institute (NCI)|Genentech, Inc.",All,"18 Years and older   (Adult, Older Adult)",Not Applicable,6.0,NIH|Industry,Interventional,Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Treatment,NCI-2014-02672|IIT 9664|84584|9664|P30CA042014,"September 8, 2015","December 31, 2018","December 31, 2018","January 13, 2015",,"February 8, 2019","University of Michigan Comprehensive Cancer Center, Ann Arbor, Michigan, United States|Huntsman Cancer Institute/University of Utah, Salt Lake City, Utah, United States",197,,No Results Available,https://ClinicalTrials.gov/show/NCT02337517
NCT00927784,Effect of Intramyocardial Injection of Mesenchymal Precursor Cells on Heart Function in People Receiving an LVAD,,Terminated,Heart Failure,Biological: Mesenchymal Precursor cells (RevascorTM)|Drug: Cryoprotective media alone,Incidence of Infectious Myocarditis|Incidence of Myocardial Rupture|Incidence of Neoplasm|Incidence of Hypersensitivity Reaction|Incidence of Immune Sensitization|Assessment of LVAD Wean|Incidence of Study Intervention-related Adverse Events|Incidence of All Serious Adverse Events|Number of Patients Who Experienced Donor-specific HLA Sensitization|Incidence of Myocardial Neovascularization at Time of Explant|Incidence of Cardiomyocyte Regeneration at Explant|Incidence of Cell Engraftment and Fate at Explant|Incidence of Survival to Cardiac Transplantation,"Icahn School of Medicine at Mount Sinai|National Heart, Lung, and Blood Institute (NHLBI)|Angioblast Systems",All,"18 Years and older   (Adult, Older Adult)",Phase 2,10.0,Other|NIH|Industry,Interventional,"Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Triple (Participant, Care Provider, Investigator)|Primary Purpose: Treatment",GCO 08-1093|P50HL077096,August 2009,May 2010,February 2011,"June 25, 2009","March 5, 2019","March 5, 2019","Sharp Memorial Hospital, San Diego, California, United States|Washington Hospital Center, Washington, District of Columbia, United States|Advocate Christ Medical Center, Oak Lawn, Illinois, United States|Jewish Hospital, Louisville, Kentucky, United States|University of Michigan, Ann Arbor, Michigan, United States|University of Minnesota, Minneapolis, Minnesota, United States|Mayo Clinic, Rochester, Minnesota, United States|Montefiore Medical Center, Bronx, New York, United States|Mount Sinai Medical Center, New York, New York, United States|Columbia University Medical Center, New York, New York, United States|Ohio State University Medical Center, Columbus, Ohio, United States|Hospital of the University of Pennsylvania, Philadelphia, Pennsylvania, United States|Temple University Hospital, Philadelphia, Pennsylvania, United States|Intermountain Medical Center, Salt Lake City, Utah, United States|Sacred Heart Medical Center, Spokane, Washington, United States|University of Wisconsin, Madison, Wisconsin, United States|St. Luke's Medical Center, Milwaukee, Wisconsin, United States",198,,Has Results,https://ClinicalTrials.gov/show/NCT00927784
